01:52:55  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'SpaceWidth' in font 'Default' is deprecated; remove it to use automatic calculation.  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  206
01:52:55  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'CursorWidth' in font 'Default' is deprecated; value ignored.  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  212
01:52:55  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'Distance' in font 'Default' is deprecated; value ignored.  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  212
01:52:55  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Default' using texture size 128 x 128.  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  595
01:52:55  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Default' using real height 15 pixels.  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  596
01:52:55  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'SpaceWidth' in font 'DefaultBig' is deprecated; remove it to use automatic calculation.  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  206
01:52:55  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'CursorWidth' in font 'DefaultBig' is deprecated; value ignored.  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  212
01:52:55  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'Distance' in font 'DefaultBig' is deprecated; value ignored.  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  212
01:52:55  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DefaultBig' using texture size 128 x 256.  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  595
01:52:55  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DefaultBig' using real height 24 pixels.  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  596
01:52:55  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'SpaceWidth' in font 'DefaultSmall' is deprecated; remove it to use automatic calculation.  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  206
